posicao,nome_time,total_jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_de_gols,pontos
1,FC Barcelona,38,31,1,6,95,36,59,94
2,Real Madrid CF,38,27,5,6,77,35,42,86
3,Villarreal CF,38,22,6,10,72,46,26,72
4,Club Atlético de Madrid,38,21,6,11,62,44,18,69
5,Real Betis Balompié,38,15,15,8,59,48,11,60
6,RC Celta de Vigo,38,14,12,12,53,48,5,54
7,Getafe CF,38,15,6,17,32,38,-6,51
8,Rayo Vallecano de Madrid,38,12,14,12,41,44,-3,50
9,Valencia CF,38,13,10,15,46,55,-9,49
10,Real Sociedad de Fútbol,38,11,13,14,59,61,-2,46
11,RCD Espanyol de Barcelona,38,12,10,16,43,55,-12,46
12,Athletic Club,38,13,6,19,43,58,-15,45
13,Elche CF,38,10,13,15,49,57,-8,43
14,Deportivo Alavés,38,11,10,17,44,56,-12,43
15,Sevilla FC,38,12,7,19,46,60,-14,43
16,CA Osasuna,38,11,9,18,44,50,-6,42
17,RCD Mallorca,38,11,9,18,47,57,-10,42
18,Levante UD,38,11,9,18,47,61,-14,42
19,Girona FC,38,9,14,15,39,55,-16,41
20,Real Oviedo,38,6,11,21,26,60,-34,29
